career_id,career_name,description,required_skills,education_required,average_salary,job_growth_rate,domain,job_role,challenges
24,Business Strategy Consultant,Not Specified...,"Mobility technological trends expertise, Business strategy development, Autonomous driving, Connectivity, Cybersecurity, Vehicle electrification, Artificial intelligence, Technology planning frameworks and methodologies, Automotive software knowledge, Electronics knowledge, Telematics, Infotainment, Connected vehicles",MBA or Bachelor's in Business,115000.00,0.10,General,,
25, Regular Full-Time,Not Specified...,"Test planning, Bug tracking tools, Automation principles, Writing test cases, Troubleshooting, Programming language, Agile software development, Software development lifecycle, Automation writing",Not Specified,140100.00,0.05,General,,
26," Vice President, Advanced Research",Not Specified...,"Digital product research, Advanced technology integration, OTT video, Virtual/Augmented Reality, Voice Assistants/Navigation, Wearable Devices, IoT, Artificial Intelligence, Machine Vision, Agile project management","Education-related Skills:, Deep understanding of technology trends, Experience in managing large development projects, Experience in agile project management",140100.00,0.05,General,,
27, Analytics Engineer,Not Specified...,"Data analysis, ETL, Data mining, Enterprise analytics platform configuration, SQL, Pivot tables, Advanced Excel models, Business intelligence tools (Tableau, Power BI), AWS Tools, Python, R","Education-Related Skills:, BS degree in data analytics, information science, operations research, economics, scientific, mathematical, or technical discipline, Relevant intern experience",140100.00,0.05,General,,
28,"Director, Informatics",Not Specified...,"Decision Support, Clinical Pathways, Healthcare Information Technology, Electronic Health Records, Quality Measurement, Analytics, Medical Terminologies (e.g., SNOMED-CT, ICD-9/ICD-10), Taxonomies (e.g., LOINC, RxNORM), Clinical Content Authoring, Data Retrieval, Order Sets, Care Plans, Precision Medicine, Learning Management Systems, Drug Information Solutions, Clinical Decision Support Solutions, Healthcare Standards (e.g., HL-7 FHIR)",Not Specified,140100.00,0.05,General,,
29,"Manager, Platforms Risk",Not Specified...,"Risk Management, Compliance, Emerging Technologies, Automation, Agile Methodologies, Technology Risk Management, Cloud Platforms, Third-Party Engagement, Software Development Processes, Policies and Procedures Interpretation",Not Specified,140100.00,0.05,General,,
30,"Regulatory Writer, All Locations",Not Specified...,"Microsoft Outlook, Microsoft Word, Microsoft Excel, Microsoft PowerPoint, Analyzing clinical data",Not Specified,140100.00,0.05,General,,
32,Python Developer,Not Specified,"Python, Cloud Computing, GPU Services, Deep Learning, AI, SDK development, CLI development, Integration testing, Unit testing, Continuous Integration, Continuous Delivery, RESTful web services",Not Specified,140100.00,0.05,Not Specified,,
33,Collaborative Manipulation Roboticist,Not Specified...,"ROS, Kinematics, Control Systems, Motion Planning, Computer Vision, Gazebo Simulation, Cobot Safety, Robotics",,50000.00,0.05,General,,
34,Software Quality Assurance Analyst,Not Specified...,"SQL, Statistics, Excel, Critical Thinking, Data Visualization",,50000.00,0.05,General,,
35,Chief of Staff,Not Specified...,"Adaptability, Time Management, Problem Solving, Communication, Teamwork",,50000.00,0.05,General,,
36,"Strategic Marketing Manager, Artificial Intelligence (AI)",Not Specified...,"Artificial Intelligence (AI), Machine Learning, Marketing principles and tactics, Analytics, Storage/IT industry knowledge",Not Specified,140100.00,0.05,General,,
37,Student Research Collaboration,Not Specified...,"Adaptability, Time Management, Problem Solving, Communication, Teamwork",,50000.00,0.05,General,,
38,Customer Success Specialist,Not Specified...,"Data analysis, Methodology knowledge, Customer service, Communication skills, Conflict resolution, Understanding of Salesforce, Slack, Jira, and Google Drive, Technical alignment to business needs",Not Specified,140100.00,0.05,General,,
39,Energy Industry Technology Specialist,Not Specified...,"Adaptability, Time Management, Problem Solving, Communication, Teamwork",,50000.00,0.05,General,,
40,Director - Artificial Intelligence (AI) Offering Lead,Not Specified...,"Machine Learning, Artificial Intelligence, IoT, Stream Data Processing, Cognitive Computing, Big Data Technologies, Cloud Platforms (AWS, Azure), R, Python, Matlab, Stata, SAS, Natural Language Processing, Predictive Algorithm Development, Data Mining, Unstructured Data Analysis, Human Machine Interaction","Education:, BS/MS/PhD in Computer Science, Information Technology, Mathematics, Data Engineering, or relevant field",140100.00,0.05,General,,
41,Marketing Content Manager,Not Specified...,"Writing style development, Content creation for demand generation campaigns, Product messaging refinement, Social media content development, Reviewing and editing written materials","Education-related Skills:, Bachelor's degree",140100.00,0.05,General,,
42,Reporting Analyst,Not Specified,"Reporting and data analysis, Excel skills (V-lookup, Pivot Table, IF formulas), Analytical thinking, Data cleaning and auditing, Process improvement, Invoice review","Education:, High school diploma, Undergraduate degree (preferred)",140100.00,0.05,Not Specified,,
43,UX Designer,Not Specified...,,,50000.00,0.05,General,,
44,Cybersecurity – Cloud Consulting,Not Specified...,,,50000.00,0.05,General,,
45,Cloud Architect - AWS,Not Specified...,"Application Support, AWS Experience, Information Technology, Communication Skills, Troubleshooting Skills, PCI Compliance, MS Windows Applications, Programming, AWS Certification, IAAS Services, SAAS, DevOps, Unit Testing, Cloud Computing, Point-of-Sale Applications, SQL, Logging Tools, Mobile Technologies","Education-Related Skills:, Bachelor's Degree",140100.00,0.05,General,,
46,Master Data Business Analyst,Not Specified,"Master Data Management, Data Quality Reports, Key Performance Indicators (KPIs), Business Analysis, Business Process Documentation, Project Management, Business Requirements Gathering, Data Governance, Data Integration, Data Warehouse, Business Intelligence, SAP ECC Material Master, SAP Configurations, Process Automation, Training Development",Not Specified,140100.00,0.05,Not Specified,,
47,O365 Messaging Architect,Not Specified...,,,50000.00,0.05,General,,
48,Machine Learning / Artificial Intelligence Scientist Site Lead,Not Specified...,"Machine Learning, Scalable computing, Model development, AI technology, Data analysis, Data manipulation, Neural networks, Deep learning, Regression, Classification, Clustering, SQL, Spark, Hadoop, Functional programming, Python, Scala, Java, C++, Deep Learning frameworks (TensorFlow, Caffe, Caffe2, PyTorch, MxNet), Agile software development",Not Specified,140100.00,0.05,General,,
49,Business Intelligence Analyst w/ SQL & AWS,Not Specified,"Data querying languages (SQL), BI tools (MicroStrategy, PowerBI, Tableau), Programming languages (Python, Java, Scala), Statistical/mathematical software (R, Weka, SAS, Matlab), Working with structured and unstructured data, Hadoop or similar technologies, Streaming analytics tools (Spark, Kafka, Storm), Cloud services (AWS, Azure Cloud), Statistical modeling, Machine learning, R/Python libraries, Statistical approaches, User interface design, Technical design patterns, Data validation/automation, Analytic functions, Geographic Information Systems (GIS), Data Warehouse concepts",Not Specified,140100.00,0.05,Not Specified,,
50,Business Analyst - Entry Level,Not Specified...,"Python, Data analysis, R programming, SQL, Statistical modeling, Machine learning","Related to Education:, Python, Data analysis, R programming, Statistical modeling, Machine learning",140100.00,0.05,General,,
51,"Data Analyst, Digital Gaming",Not Specified...,"Data analysis, Data manipulation, Statistical analysis, SQL, Statistical software, Database languages, Machine learning, Python, R","Education-related Skills:, BS/BA degree in a quantitative discipline",140100.00,0.05,General,,
52, DBHi Data Scientist I,Not Specified...,"Machine Learning, Statistical Analysis, Mathematical Analysis, Data Analysis, Data Modeling, Algorithms, Programming, Bayesian Methods, Probabilistic Graphical Models, Deep Learning, Time-Series Data Modeling, Python, R, Scala, Relational Databases (e.g. Postgres, MySQL), RESTful Web Services, Natural Language Processing, Distributed Computing Technologies (e.g. MPI, Cuda)",Not Specified,140100.00,0.05,General,,
53, D3- Sr. NLP Deep Learning Data Scientist,Not Specified...,"Natural Language Processing/Understanding, Machine Learning, Artificial Intelligence Algorithms/Models, Deep Learning, Coding, Software Development, Data Analysis, TensorFlow, Keras, R, Python, Matlab","Education Skills:, Graduate Degree in Math, Computer Science, Statistics, Engineering, Machine Learning",140100.00,0.05,General,,
54, Full-Stack Developer (Billing Team),Not Specified...,"Python, Django, Front-end development (AngularJS, HTML, CSS), Software testing, Troubleshooting, AI & machine learning, CPT codes, ICD-10/ICD-9, SNOMED, Data analysis",Not Specified,140100.00,0.05,General,,
55,"Machine Learning Engineer, Personalization",Not Specified,"Machine Learning, Scalability, Data Processing, Agile Development, Quality Assurance, Data Analysis, Python, Scala, R, Hadoop, Spark, Amazon AWS, Source Control (Git, Hg, SVN)","Education:, Degree in Computer Science or related discipline",140100.00,0.05,Not Specified,,
56,Junior Analyst - Entry Level,Not Specified...,"Python, SQL, Data analysis, Machine learning, ETL processes, Data visualization tools (e.g., Tableau)",Not Specified,140100.00,0.05,General,,
57," Senior Product Manager, Computer Vision, Artificial Intelligence",Not Specified...,"Product management, Metrics driven product development, Data analysis, Machine learning, Deep learning, AWS technologies, Data deployment, Spark, Python, Scala, Agile methodology, Computer Science",Not Specified,140100.00,0.05,General,,
58,Corporate Research Assistant - Entry Level,Not Specified...,"Python, Java, SQL, Data analysis, Machine learning",Not Specified,140100.00,0.05,General,,
59,User Experience Designer,Not Specified...,"User Experience Design, Front-End Development, Design Systems, User Flows, Prototyping, Design Approaches, Ruby on Rails, React.js",Not Specified,140100.00,0.05,General,,
60,35F Intelligence Analyst,Not Specified...,"All-source intelligence analysis, Intelligence, Surveillance, and Reconnaissance (ISR) synchronization support, Processing incoming reports and messages, Establishing and maintaining systematic intelligence records, Intelligence integration, Graphics preparation and maintenance","Education-Related Skills:, Basic Soldiering skills, Intelligence gathering practice",140100.00,0.05,General,,
61,Transportation Modeler/Engineer,Not Specified...,"Transportation system modeling, Python, C, or other programming languages, Traffic engineering principles, Econometrics, Statistics, Microsoft Access, SQL, Geographic Information Systems (GIS), Travel demand modeling software (VISUM, CUBE, TransCAD, DaySim, EMME), Microscopic or mesoscopic simulation software (VISSIM)","Education-Related Skills:, Bachelors' degree in a related discipline, Master's degree in a related discipline",140100.00,0.05,General,,
62, Enterprise ETL Engineer,Not Specified...,"Technical Skills, ETL processes design, Data integration, Data validation, Enterprise data sources, Redshift, Databricks/Spark, AWS S3, MySQL, Oracle, Data pipeline understanding, Kimball Dimensional Modeling, SQL, ERD review, Structured data handling, Semi-structured data handling, Unstructured data handling, OLTP, OLAP, BI reporting tools","Related to Education:, Kimball Dimensional Modeling, SQL, ERD review, BI reporting tools",140100.00,0.05,General,,
63,Data Engineer - Digital Wealth,Not Specified...,"Python, Apache Hadoop, Spark, HDFS, Hive, SQL, Excel, Project Management, Data Flow (Kafka, Sqoop), ETL Processes, Data Analytics Tools (R, Scala, Pandas, Tableau), Microsoft Office applications, Financial Markets, Morningstar, Bloomberg, Salespage CRM, Albridge, Discovery, BrightScope, Market Metrics",Not Specified,140100.00,0.05,General,,
64,Business Operations Analyst,Not Specified...,"Data analysis, Data mining, CRM management, Marketing automation, Reporting, MS Office proficiency, Excel, Power Point, Business Intelligence tools (Tableau, Domo, PowerBI), Salesforce.com, Marketo or other marketing automation tools","Related to Education:, Bachelor's degree",140100.00,0.05,General,,
65,"Analyst, Business Analytics",Not Specified...,"Data analysis, Data visualization, SQL, Database management, Reporting tools (PowerPoint & Tableau), Hive, ELT processes, Salesforce.com, Excel",Not Specified,140100.00,0.05,General,,
66," Business Analyst, Strategy & Analytics",Not Specified...,"Analytical skills, Problem-solving skills, SQL, Python, R, Excel, Data analysis, ROI modeling, Marketing analytics, Consumer insights, Data warehousing, Retail POS financing, E-commerce",Not Specified,140100.00,0.05,General,,
67,Financial Business Analyst (PowerApps),Not Specified,"PowerApps, Power BI, SharePoint, Excel, SQL","Education-Related Skills:, BS Degree in Finance, Analytics or related discipline",140100.00,0.05,Not Specified,,
68, Transportation Business Analyst III,Not Specified...,"Data analysis, Data mining, Financial analysis, Forecast model development, SQL, Excel","Education-Related Skills:, BS or BA degree in a quantitative field such as Math, Finance, Statistics, Engineering, Supply Chain, or Business Operations",140100.00,0.05,General,,
69,CUST INTELLIGENCE ANALYST II-III,Not Specified,"SQL, PL/SQL, Data Management, Batch Scripts, ETL Tools, Relational Databases, Data Modeling, Reporting Tools, SAS, Tableau, Microstrategy, MVC, MVVM, Visual Studio, C, JavaScript, JQuery, Microsoft Office, Oracle Databases",Not Specified,140100.00,0.05,Not Specified,,
70,Revenue Analyst,Not Specified...,"Data analysis, Data accuracy, Business intelligence, Report automation, Database management, Excel, VBA, SQL, Revenue optimization/forecasting software",Not Specified,140100.00,0.05,General,,
71,Salesforce Developer,"JOB TITLE: SALESFORCE DEVELOPERPOSITION TYPE: 100% REMOTEPAY: $68.00/HR ON W2
EXPERIENCE DESIGNING COMPREHENSIVE SALESFORCE SOLUTION FOR SALESFORCE SALES CLOUD, SERVICE CLOUD AND COMMUNITIES. HANDS-ON EXPERIENCE WITH SALESFORCE REST APIS AND CODING IN APEX. THIS INDIVIDUAL IS COLLABORATIVE AND HAS WORKED WITHIN AN AGILE ENVIRONMENT. EXPERIENCE WITH UI DESIGN IS A PLUS.
ESSENTIAL RESPONSIBILITIES:PRIMARY RESPONSIBILITES WILL FOCUS ON BUILDING CUSOTM BUSINESS APPLICATIONS AND SOLUTIONS BY WRITING CODE IN APEX LWC/AURA.SOLUTION DESIGN AND IMPLEMENTATION OF SALESFORCE SERVICE CLOUDDEVELOP INTEGRATION CROSS SALESFORCE INSTANCESRESPONSIBLE FOR CUSTOMIZING, DEVELOPING AND SUPPORTING SOLUTIONS ON THE FORCE.COM PLATFORM, DRIVE SALESFORCE ENHANCEMENTS AND IMPROVEMENTSBUILD INTEGRATIONS BETWEEN SALESFORCE AND OTHER INTERNAL SYSTEMS TO AUTOMATE BUSINESS PROCESSESDEVELOP CUSTOM CODE, PERFORM CODE REVIEWS AND ENSURE SUCCESSFUL DEPLOYMENTSPREFERRED SKILLS/EXPERIENCEEXPERIENCE WITH SALESFORCE SERVICE CLOUD, COMMUNITY CLOUD AND CTI INTEGRATION (AMAZON CONNECT)FIVE YEARS OF EXPERIENCE AS A SALESFORCE DEVELOPEREXPERIENCE IMPLEMENTING SALESFORCE SALES CLOUD, SERVICE CLOUD AND COMMUNITIESDESIGN EXPERIENCE IN SALESFORCE LIGHTNING UIEXPERIENCE WITH REST/SOAP API INTEGRATIONEXPERIENCE WITH SYSTEM MIGRATIONS EXTENSIVE KNOWLEDGE IN MODELING AND APPLICATION DESIGN AND ARCHITECTUREEXPERT KNOWLEDGE IN IT/SOFTWARE QUALITY ASSURANCE, SYSTEM TESTING TOOLS AND SYSTEM/APPLICATION TESTING AND IMPLEMENTATIONENTIRELY SELF-DIRECTED, CAN SOLVE BUSINESS PROBLEMS FROM INCEPTION TO IMPLEMENTATION, CAN SOLVE BUSINESS PROBLEMS WITHOUT EXPLICIT DIRECTIONCREATIVE, FLEXIBLE, AND WILLING TO CONTINUOUSLY CHANGE, EVOLVE, AND IMPROVE SOFTWARE DEVELOPMENT PROCESSESSTRONG TIME MANAGEMENT SKILLS AND COMMUNICATION/LEADERSHIP SKILLSADEPT WITH AGILE SOFTWARE DEVELOPMENT LIFECYCLE AND DEVOPS PRINCIPLES","Salesforce Solution Design, Apex, VisualForce, XML, HTTP/HTTPS, Javascript, JSON, Force.com platform, Git, Subversion, Test Driven Development (TDD), Selenium, Continuous Integration (CI), Web Services, ETL Tools, Salesforce Integration, JavaScript, AJAX, HTML5, CSS",Not Specified,140100.00,0.05,Not Specified,,
72,Business Analyst_MDM,Not Specified,"Data Governance, Data Quality, Reference Data Management, Collibra, Business Metadata, Data Lineage, Business Requirements Documentation, User Acceptance Testing, Change Management, MDM (Master Data Management), SAP, Enterprise Source Systems, Business Intelligence, Enterprise Integration, Software Business Sales Cycles, CRM, ERP",Not Specified,140100.00,0.05,Not Specified,,
73,Medical Doctor (General Practitioner),"Diagnose and treat injuries or illnesses. examine patients; take medical histories; prescribe medications; and order, perform, and interpret diagnostic tests.","Biology, Anatomy, Diagnosis, Patient Care, Medical Terminology, Pharmacology",Doctor of Medicine (MD),208000.00,3.00,Medical,,
74,Edison Office Administrator,Not Specified,"Note: The technical skills are related to experience, while the soft skills are a mix of education and experience.",Not Specified,140100.00,0.05,Not Specified,,
75,Data Architecture Manager,Not Specified,"Data modeling, Data Vault, Dimensional (Star Schema), OLTP, Hierarchical data modeling, Enterprise modeling standards, Data Governance, Data integration (ETL), Data Architecture standards, Data Governance procedures, Hadoop, Big Data, NoSQL, Data Virtualization, Data Services","High School Diploma required, Bachelor’s Degree preferred, Master’s Degree preferred",140100.00,0.05,Not Specified,,
76,Program Manager - Supply,Not Specified...,"Data Analysis, Forecasting Models, Growth & Sales Metrics, Custom Dashboards, SQL Proficiency, Business Information Analysis, Dashboard Creation, Business Metrics Tracking",Not Specified,140100.00,0.05,Not Specified,,
77,Data Engineer,Not Specified,"Python, SQL, API, Tableau, SAP Business Objects (BOBJ), SAP HANA, Hadoop / HAWQ, SAP Smart Data Integration (SDI) / SAP Landscape Transformation (SLT), Informatica","Education-Related Skills:, Bachelors degree in Computer Science, Statistics, Mathematics, Engineering, or relevant field.",140100.00,0.05,Not Specified,,
78,Cloud Solution Architect (Bilingual in Mandarin a plus),Not Specified,"AWS solution design, Provision, Migration, Deployment, Operation, Java, C, ASP.Net, Net Core, HTML 5, CSS, Azure Cloud, Angular, RabbitMQ, MongoDB, MS SQL server, Project Management",Bachelor degree or higher on computer science or management information system,140100.00,0.05,Not Specified,,
79,MongoDB Admin,Not Specified...,"Configure and monitor MongoDB instances and replica sets, Automate routine tasks with scripts and open-source tools, Solve production problems, Improve database backups and test recoverability, Optimize database needs using MongoDB, Maintain database performance and capacity planning, Performance tuning for high throughput, Architecting high availability servers",Not Specified,140100.00,0.05,Not Specified,,
80,Data and Evaluation Manager,Not Specified...,"Database Management, Data Analysis, Evaluation Planning, Program Monitoring, Research Skills, Salesforce Administration",Not Specified,140100.00,0.05,Not Specified,,
81,Ultimate Hoops League Coordinator,Not Specified,"Management of sports leagues, Game statistics recording, Online management, Event coordination and scheduling, Promotion of sports programs, Payroll tracking","Education-related Skills:, High School diploma or GED",140100.00,0.05,Not Specified,,
82,"Senior Technology Consultant: Integration, Data Conversion, Reporting –
Higher Education & State / Local Government",Not Specified,"Knowledge of core design principals, Integrations design and delivery, Technical data conversion, Reporting and Analytics design, Data modeling concepts, ETL Software, Web Services, XML / XSLT, Programming (e.g., Java, C), Advanced Reports development, Data Analytics / big data",Not Specified,140100.00,0.05,Not Specified,,
83,Database Analyst 5,Not Specified,"Database design, Database administration, Oracle, DB2, SQL Server, Teradata, Data warehouse",Not Specified,140100.00,0.05,Not Specified,,
84,Graduate Admissions Records Evaluator,Not Specified,"Application Processing, Customer Relationship Management (CRM), Data Entry, Document Imaging, Quality Assurance, Troubleshooting, Data Integration","Education:, High school diploma or its equivalent",140100.00,0.05,Not Specified,,
85,Strategic Data Analyst,Not Specified,"Data analysis, Data manipulation, SAS/SQL, Statistics, Health informatics, Presentation skills","Education-related Skills:, BA/BS degree in Analytics, Statistics, Data Science, Health Informatics or similar, MA/MS/MBA degree",140100.00,0.05,Not Specified,,
86,Data Engineer - AWS,Not Specified,"Big Data Applications, Python, ETL, Redshift, Apache Spark, AWS, Database structures, S3 datalakes","Skills Related to Education:, Understanding of database structures, theories, principles, and practices",140100.00,0.05,Not Specified,,
87,Data Architect - Teradata,Not Specified,"Teradata, Data Warehouse, Data Modeling, SQL Programming, Performance Tuning, ETL/ELT, Linux, UNIX, Windows, Shell Scripting, Informatica, MS Office, BI Tools (MicroStrategy or Tableau), SQL Server, Oracle, DB2, Hadoop, Google Cloud Service & Big Query, Stonebranch","Education-Related Skills:, Teradata Certification",140100.00,0.05,Not Specified,,
88,Clinical Data Scientist,Not Specified,"SQL experience, Use of JReview or other analytical/visualization tools (e.g., Spotfire, SAS JMP Clinical, SAS, R), Excel proficiency (pivot tables, graphics, data exploration)",Not Specified,140100.00,0.05,Not Specified,,
89,OFFICE ASSISTANT (TEMP),Not Specified,"Answering telephone calls, Responding to inquiries, Organizing files, Setting up for events, Maintaining office equipment, Knowledge of Word, Excel, and Adobe Pro",Not Specified,140100.00,0.05,Not Specified,,
90,Principle Enterprise Data Architect,Not Specified,"Enterprise Architecture, System Architecture, Data Architecture, Enterprise Integration Design, Microsoft .NET Platform Development, Java/Linux Development, Cloud Implementation (Azure and/or AWS), Integration Platforms and Frameworks, Data Solutions Architecture, Data Integration Development, BI Development, Web and Mobile Platform Design, Cloud-Based and On-Premise Integration, Agile Development Methodology, API Management, DevOps, Server Infrastructure, Network Infrastructure, Information Security, Database Technologies, Business Application Design, Data Architecture Design Patterns, TOGAF Certification, Zachman Framework Knowledge",Not Specified,140100.00,0.05,Not Specified,,
91,End User Services Engineer,Not Specified,"IT experience, Microsoft systems (Win 10) support, Mac OS X support, Linux based operating systems support, Network implementation knowledge, Server hardware and software maintenance, PC hardware architecture knowledge, Support for desktop applications, Collaborative technologies support, Desktop architecture build understanding, Integrated audio systems support, Comprehensive AV deployments support, Webcasting and web-video delivery knowledge, VMware desktop products experience","Skills related to education:, Completed a minimum 3-year degree in Computer Science or related field OR degree from Technical Trade School",140100.00,0.05,Not Specified,,
92,Leasing Consultant,Not Specified,"Customer service, Sales experience, Marketing, Property management software knowledge",Not Specified,140100.00,0.05,Not Specified,,
93,Manager of Business Analytics – Dodger Stadium,Not Specified,"Business Analytics, Client-facing experience, SQL, Python, Statistical software (R preferred), Data visualization (Tableau preferred), Excel modeling, Financial business modeling, Data visualization tools, PowerPoint","Education-related Skills:, Bachelor's degree in business analytics, economics, finance, computer science, statistics, or related field",140100.00,0.05,Not Specified,,
94,Salesforce Admin & Data Systems Manager,Not Specified,"Salesforce administration, CRM management, Data management, Data quality monitoring, Data system integration, System tools evaluation, Error troubleshooting, Custom Salesforce development, Project management",Not Specified,140100.00,0.05,Not Specified,,
95,"Administrator, Database",Not Specified,"Database Architecture, Database Management System (DBMS) installation and testing, Data standards maintenance, Database documentation writing, Access permissions and privileges control, Backup and recovery planning, Performance monitoring, NoSQL databases (Cassandra, Mongo, etc.), AWS, Azure, PCF knowledge, Cloud data administration, Data integrity enforcement, Advanced Development using Cassandra, Microservices, Payments industry understanding, Data modeling experience, Continuous Integration and Continuous Deployment","Note: Some skills are related to experience, while others are related to education.",140100.00,0.05,Not Specified,,
96,Business Intelligence Analyst II - Decision Support Services,Not Specified,"Business Intelligence, Data mapping, Data warehousing, EMR/Epic, Clarity, SAP Business Object tools, Oracle SQL, Allscripts EPSi Enterprise Analyst and Decision Support Suite, PeopleSoft, Microsoft Word, Microsoft Excel, Microsoft Access, Project management",Not Specified,140100.00,0.05,Not Specified,,
97,Sr. Database Administrator,Not Specified,"Managing production SQL environments, SQL Server Reporting Services (SSRS, SSAS, SSIS), Business Intelligence reporting tools (Qlik, Tableau, Power BI), Agile environment, Powershell scripting","Education-related skills:, Bachelor's Degree",140100.00,0.05,Not Specified,,
98,Travel Consultant - Gov't / Military Accounts (EV),Not Specified,"Native SABRE experience, GDS system knowledge, Knowledge of Excel spreadsheet software, Microsoft Office proficiency, Ability to navigate between programs by using shortcut keys",Not Specified,140100.00,0.05,Not Specified,,
99,Data Center Architect,Not Specified,"Data center and storage solutions, Consultative / complex sales processes, Deep knowledge of major public cloud offerings (i.e. Microsoft Azure, AWS, OpenStack, DevOps), Infrastructure, Platform, and Software as a Service (IaaS, PaaS, SaaS) capabilities","Education-related Skills:, Deep knowledge of data center and storage solutions",140100.00,0.05,Not Specified,,
100,"Technical Account Manager, Google Cloud Professional Services",Not Specified,"Data analysis, Troubleshooting, Cross-functional teamwork, Enterprise infrastructure implementations, Cloud platform design, Big Data solutions, Application development, Strategic roadmapping, Digital transformation, Customer feedback analysis, Capacity planning, Product release management",Not Specified,140100.00,0.05,Not Specified,,
101,MySQL Database Administrator,Not Specified,"MySQL database architecture, MySQL database performance tuning, Data sharding, Galera cluster, LAMP environment, MySQL Replication, InnoDB administration, Linux environment, Linux shell scripting, Perl, Python, Physical/logical database design, Install, configure, patching, and upgrading MySQL databases, Automating administrative tasks, Hardware performance analysis, Database security management","Education Related:, Advanced knowledge in MySQL database architecture, Ability to work cooperatively with software engineers and system administrators",140100.00,0.05,Not Specified,,
102,Data Analyst,Not Specified,"SQL, Excel, Data visualization tools, Proficiency with development languages (e.g., Python), Background in statistics or a related field",Not Specified,140100.00,0.05,Not Specified,,
103,Systems Administrator I (Temporary),Not Specified,"End-user support, Computer desktop maintenance, Documentation, Analysis of technical problems, Desktop upgrades, Software installations, Telecommunications maintenance, Video conferencing, Hardware repair, Microsoft operating systems, Networking devices, Network security, TCP/IP networking, Troubleshooting techniques, PC hardware and software support","Education:, year of experience in a computer operations environment or equivalent combination of education and experience.",140100.00,0.05,Not Specified,,
104,Business Analyst,Not Specified,"Reporting and Analytics, Data Analysis, Business Requirements, Data Visualization, Business Intelligence Tools, Qualitative and Quantitative Analysis, Data Cleansing, Database Management, Excel, SQL (mySQL), Data Engineering, Dashboard Development, Financial Analysis, Data Integrity, ETL Tools (SSIS, Alteryx), Tableau",Not Specified,140100.00,0.05,Not Specified,,
